multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
463837,72182,WAR,270,M,"Jace, Arcane Strategist",{4}{U}{U},6.0,Legendary Planeswalker — Jace,Kieran Yanner,,5.33,,,https://img.scryfall.com/cards/large/front/b/6/b6a857fb-159f-40c4-8988-da91d8521a60.jpg?1555741634,https://scryfall.com/card/war/270/jace-arcane-strategist
461019,71790,WAR,92,M,God-Eternal Bontu,{3}{B}{B},5.0,Legendary Creature — Zombie God,Lius Lasahido,5.31,16.17,4.1,3.31,https://img.scryfall.com/cards/large/front/3/7/3714a135-e2b9-43a7-a2a2-fa5a2e0ac61a.jpg?1555740689,https://scryfall.com/card/war/92/god-eternal-bontu
457266,71244,RNA,122,M,Biogenic Ooze,{3}{G}{G},5.0,Creature — Ooze,Lake Hurwitz,5.27,10.61,4.52,3.43,https://img.scryfall.com/cards/large/front/6/f/6f11029a-b24d-4248-834f-b852b56857f6.jpg?1549414519,https://scryfall.com/card/rna/122/biogenic-ooze
253680,46507,RTR,243,R,Overgrown Tomb,"",0.0,Land — Swamp Forest,Steven Belledin,5.25,17.62,5.01,0.43,https://img.scryfall.com/cards/large/en/rtr/243.jpg?1535415843,https://scryfall.com/card/rtr/243/overgrown-tomb
457339,71390,RNA,195,M,Prime Speaker Vannifar,{2}{G}{U},4.0,Legendary Creature — Elf Ooze Wizard,Kieran Yanner,5.17,24.88,5.26,8.28,https://img.scryfall.com/cards/large/front/8/4/84abfc59-10a7-4cb5-9cdd-81797116c810.jpg?1552759361,https://scryfall.com/card/rna/195/prime-speaker-vannifar
241979,42652,ISD,242,R,Isolated Chapel,"",0.0,Land,Cliff Childs,5.15,9.92,3.65,0.24,https://img.scryfall.com/cards/large/front/b/3/b3c1a371-5ded-4a3a-bf96-503c4f1a665d.jpg?1545409094,https://scryfall.com/card/isd/242/isolated-chapel
439757,66653,RIX,100,R,"Etali, Primal Storm",{4}{R}{R},6.0,Legendary Creature — Elder Dinosaur,Raymond Swanland,5.12,7.67,2.3,0.01,https://img.scryfall.com/cards/large/front/1/d/1d3d8bb4-0430-45bb-930d-5d6db6521945.jpg?1555040414,https://scryfall.com/card/rix/100/etali-primal-storm
249722,45310,M13,225,R,Glacial Fortress,"",0.0,Land,Franz Vohwinkel,4.96,8.43,4.32,0.19,https://img.scryfall.com/cards/large/en/m13/225.jpg?1517813031,https://scryfall.com/card/m13/225/glacial-fortress
452963,69799,GRN,213,M,"Vraska, Golgari Queen",{2}{B}{G},4.0,Legendary Planeswalker — Vraska,Magali Villeneuve,4.95,10.05,4.32,5.02,https://img.scryfall.com/cards/large/front/a/3/a36d3ea7-0f18-4865-b47b-755673db065e.jpg?1538880714,https://scryfall.com/card/grn/213/vraska-golgari-queen
435379,65466,XLN,223,R,Hostage Taker,{2}{U}{B},4.0,Creature — Human Pirate,Wayne Reynolds,4.94,6.96,3.25,0.06,https://img.scryfall.com/cards/large/en/xln/223.jpg?1527430883,https://scryfall.com/card/xln/223/hostage-taker
452945,69763,GRN,195,M,"Ral, Izzet Viceroy",{3}{U}{R},5.0,Legendary Planeswalker — Ral,Kieran Yanner,4.68,9.22,4.55,5.22,https://img.scryfall.com/cards/large/front/c/5/c52066b3-84dc-4198-8090-3336e7df8b5d.jpg?1538880491,https://scryfall.com/card/grn/195/ral-izzet-viceroy
452863,69599,GRN,113,R,Risk Factor,{2}{R},3.0,Instant,Chris Seaman,4.67,5.53,3.54,1.89,https://img.scryfall.com/cards/large/front/4/e/4eda89d9-9bd1-4a55-ac02-f9a0625d8e5b.jpg?1538879548,https://scryfall.com/card/grn/113/risk-factor
443105,67899,DOM,217,R,Helm of the Host,{4},4.0,Legendary Artifact — Equipment,Igor Kieryluk,4.54,10.11,1.54,0.02,https://img.scryfall.com/cards/large/en/dom/217.jpg?1524792181,https://scryfall.com/card/dom/217/helm-of-the-host
439817,66773,RIX,159,M,"Huatli, Radiant Champion",{2}{G}{W},4.0,Legendary Planeswalker — Huatli,Chris Rahn,4.43,8.65,3.89,0.1,https://img.scryfall.com/cards/large/front/3/9/39bcc48a-efdb-443f-93b8-bc0b54aa0eb8.jpg?1555040837,https://scryfall.com/card/rix/159/huatli-radiant-champion
455613,69373,GRN,273,M,Impervious Greatwurm,{7}{G}{G}{G},10.0,Creature — Wurm,Simon Dominic,,4.38,1.76,0.92,https://img.scryfall.com/cards/large/front/f/5/f5e6dc5f-fd83-4166-a5da-cd953722642a.jpg?1550201360,https://scryfall.com/card/grn/273/impervious-greatwurm
435315,65338,XLN,161,M,Star of Extinction,{5}{R}{R},7.0,Sorcery,Chris Rahn,4.36,9.57,2.57,0.27,https://img.scryfall.com/cards/large/en/xln/161.jpg?1527429864,https://scryfall.com/card/xln/161/star-of-extinction
435212,65132,XLN,60,M,"Jace, Cunning Castaway",{1}{U}{U},3.0,Legendary Planeswalker — Jace,Kieran Yanner,4.21,6.28,1.99,0.41,https://img.scryfall.com/cards/large/en/xln/60.jpg?1527428317,https://scryfall.com/card/xln/60/jace-cunning-castaway
435446,65627,XLN,285,M,"Huatli, Dinosaur Knight",{4}{R}{W},6.0,Legendary Planeswalker — Huatli,Anna Steinbauer,,4.2,3.95,3.6,https://img.scryfall.com/cards/large/en/xln/285.jpg?1527431915,https://scryfall.com/card/xln/285/huatli-dinosaur-knight
457301,71314,RNA,157,R,Bedevil,{B}{B}{R},3.0,Instant,Seb McKinnon,4.13,7.43,3.26,0.49,https://img.scryfall.com/cards/large/front/8/1/81e2b96b-ecf2-4dd9-bc9d-3c46ee8c59e6.jpg?1549414712,https://scryfall.com/card/rna/157/bedevil
249716,45318,M13,222,R,Dragonskull Summit,"",0.0,Land,Jon Foster,4.12,5.31,2.4,0.03,https://img.scryfall.com/cards/large/en/m13/222.jpg?1517813031,https://scryfall.com/card/m13/222/dragonskull-summit
435441,65617,XLN,280,M,"Jace, Ingenious Mind-Mage",{4}{U}{U},6.0,Legendary Planeswalker — Jace,Clint Cearley,,4.05,3.57,,https://img.scryfall.com/cards/large/en/xln/280.jpg?1527431834,https://scryfall.com/card/xln/280/jace-ingenious-mind-mage
439787,66713,RIX,130,R,"Ghalta, Primal Hunger",{10}{G}{G},12.0,Legendary Creature — Elder Dinosaur,Chase Stone,4.04,7.24,2.72,0.07,https://img.scryfall.com/cards/large/front/0/1/0104b5b3-9376-4ad7-9a77-3e564e9c42e6.jpg?1555040636,https://scryfall.com/card/rix/130/ghalta-primal-hunger
