multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
146746,29493,SHM,277,R,Mystic Gate,"",0.0,Land,Fred Fields,21.47,31.31,11.08,0.09,https://img.scryfall.com/cards/large/en/shm/277.jpg?1535415595,https://scryfall.com/card/shm/277/mystic-gate
240134,44049,AVR,102,R,Exquisite Blood,{4}{B},5.0,Enchantment,Cynthia Sheppard,21.44,24.54,13.29,0.09,https://img.scryfall.com/cards/large/en/avr/102.jpg?1517813031,https://scryfall.com/card/avr/102/exquisite-blood
140166,28433,LRW,262,R,Thorn of Amethyst,{2},2.0,Artifact,Chuck Lukacs,21.37,78.97,9.41,0.21,https://img.scryfall.com/cards/large/en/lrw/262.jpg?1517813031,https://scryfall.com/card/lrw/262/thorn-of-amethyst
49440,20217,MRD,169,R,Extraplanar Lens,{3},3.0,Artifact,Lars Grant-West,21.36,37.07,9.05,0.32,https://img.scryfall.com/cards/large/en/mrd/169.jpg?1517813031,https://scryfall.com/card/mrd/169/extraplanar-lens
146762,29509,SHM,81,R,Wound Reflection,{5}{B},6.0,Enchantment,Terese Nielsen & Ron Spencer,21.36,43.41,9.54,0.01,https://img.scryfall.com/cards/large/en/shm/81.jpg?1517813031,https://scryfall.com/card/shm/81/wound-reflection
50253,20977,CHK,124,R,Marrow-Gnawer,{3}{B}{B},5.0,Creature,Wayne Reynolds,21.34,51.96,5.89,0.02,https://img.scryfall.com/cards/large/en/chk/124.jpg?1517813031,https://scryfall.com/card/chk/124/marrow-gnawer
122123,24823,CSP,78,R,Braid of Fire,{1}{R},2.0,Enchantment,Cyril Van Der Haegen,21.31,42.98,7.34,0.16,https://img.scryfall.com/cards/large/en/csp/78.jpg?1517813031,https://scryfall.com/card/csp/78/braid-of-fire
391883,55410,FRF,20,M,Monastery Mentor,{2}{W},3.0,Creature,Magali Villeneuve,20.9,39.23,9.69,5.82,https://img.scryfall.com/cards/large/en/frf/20.jpg?1517813031,https://scryfall.com/card/frf/20/monastery-mentor
370636,49465,M14,111,M,Rise of the Dark Realms,{7}{B}{B},9.0,Sorcery,Michael Komarck,20.51,24.78,14.41,1.35,https://img.scryfall.com/cards/large/en/m14/111.jpg?1517813031,https://scryfall.com/card/m14/111/rise-of-the-dark-realms
179547,32276,ARB,8,R,Meddling Mage,{W}{U},2.0,Creature,Todd Lockwood,20.38,42.43,10.86,0.96,https://img.scryfall.com/cards/large/en/arb/8.jpg?1517813031,https://scryfall.com/card/arb/8/meddling-mage
279712,45224,M13,200,M,Akroma's Memorial,{7},7.0,Artifact,Dan Scott,20.18,31.47,11.68,0.11,https://img.scryfall.com/cards/large/en/m13/200.jpg?1517813031,https://scryfall.com/card/m13/200/akromas-memorial
136047,26822,FUT,173,U,Tolaria West,"",0.0,Land,Khang Le,19.99,36.74,6.46,3.05,https://img.scryfall.com/cards/large/en/fut/173.jpg?1530718954,https://scryfall.com/card/fut/173/tolaria-west
240070,43979,AVR,79,M,"Tamiyo, the Moon Sage",{3}{U}{U},5.0,Planeswalker,Eric Deschamps,19.97,50.0,12.88,0.38,https://img.scryfall.com/cards/large/en/avr/79.jpg?1517813031,https://scryfall.com/card/avr/79/tamiyo-the-moon-sage
389477,55043,C14,104,R,Cyclonic Rift,{1}{U},2.0,Instant,Chris Rahn,19.96,,13.22,0.38,https://img.scryfall.com/cards/large/en/c14/104.jpg?1530677597,https://scryfall.com/card/c14/104/cyclonic-rift
450253,68145,M19,306,M,Nexus of Fate,{5}{U}{U},7.0,Instant,Mike Bierek,,19.39,7.12,13.63,https://img.scryfall.com/cards/large/en/m19/306.jpg?1550201557,https://scryfall.com/card/m19/306/nexus-of-fate
146747,29495,SHM,281,R,Wooded Bastion,"",0.0,Land,Christopher Moeller,19.36,22.93,7.55,0.04,https://img.scryfall.com/cards/large/en/shm/281.jpg?1535415597,https://scryfall.com/card/shm/281/wooded-bastion
170987,34374,ZEN,126,R,Goblin Guide,{R},1.0,Creature — Goblin Scout,Warren Mahy,19.24,32.45,14.91,1.98,https://img.scryfall.com/cards/large/en/zen/126.jpg?1517813031,https://scryfall.com/card/zen/126/goblin-guide
456823,70049,UMA,227,R,Engineered Explosives,{X},0.0,Artifact,Lars Grant-West,19.2,29.46,18.26,29.39,https://img.scryfall.com/cards/large/front/f/1/f1e2b69e-b06b-46a5-ac57-a6a180eeecc7.jpg?1547518428,https://scryfall.com/card/uma/227/engineered-explosives
291507,46259,V12,2,M,"Boseiju, Who Shelters All","",0.0,Land,Ralph Horsley,,19.15,9.27,,https://img.scryfall.com/cards/large/front/e/0/e01b7141-9576-445b-bcd4-00d79850a4dd.jpg?1539108811,https://scryfall.com/card/v12/2/boseiju-who-shelters-all
460980,71712,WAR,53,M,God-Eternal Kefnet,{2}{U}{U},4.0,Creature — Zombie God,Lius Lasahido,18.86,31.64,9.46,13.03,https://img.scryfall.com/cards/large/front/5/e/5e14060f-9167-4e28-a053-77689e066e30.jpg?1555740489,https://scryfall.com/card/war/53/god-eternal-kefnet
77924,21185,CHK,277,R,Hall of the Bandit Lord,"",0.0,Land,Paolo Parente,18.86,45.17,7.11,0.39,https://img.scryfall.com/cards/large/en/chk/277.jpg?1517813031,https://scryfall.com/card/chk/277/hall-of-the-bandit-lord
